Hhid,Day,Comp,SEC,Age,Child,Ncars,Gend,Wstat,AgeP,Actnr,Atype,With,BT,ET,Home,PPC,Mode,TravTime,TravDist,Eindhoven,Dur
4108125,1,1,2,0,0,1,1,2,0,1,9,0,300,745,1,5643,,0,,1,285
4108125,1,1,2,0,0,1,1,2,0,2,0,0,830,1700,0,5643,0,45,,1,550
4108125,1,1,2,0,0,1,1,2,0,3,9,0,1745,2700,1,5643,0,45,,1,595
4109128,1,4,0,4,0,1,0,0,4,1,9,0,300,1915,1,5623,,0,,1,975
4109128,1,4,0,4,0,1,0,0,4,2,7,0,1945,2030,0,5653,1,30,6.01,1,85
4109128,1,4,0,4,0,1,0,0,4,3,9,0,2100,2700,1,5623,1,30,6.01,1,360
4109128,1,4,0,4,0,1,1,0,3,1,9,0,300,1530,1,5623,,0,,1,750
4109128,1,4,0,4,0,1,1,0,3,2,5,0,1532,1537,0,5623,1,2,0,1,5
4109128,1,4,0,4,0,1,1,0,3,3,9,0,1539,2700,1,5623,1,2,0,1,721
4109135,1,3,3,1,0,1,0,2,1,1,9,0,300,745,1,5211,,0,,1,285
4109135,1,3,3,1,0,1,0,2,1,2,0,0,830,1930,0,5611,2,45,34.65,1,660
4109135,1,3,3,1,0,1,0,2,1,3,9,0,2025,2700,1,5211,2,55,34.65,1,435
4109135,1,3,3,1,0,1,1,2,1,1,9,0,300,715,1,5211,,0,,1,255
4109135,1,3,3,1,0,1,1,2,1,2,0,0,750,1420,0,4921,0,35,37.75,1,430
4109135,1,3,3,1,0,1,1,2,1,3,9,0,1510,2700,1,5211,0,50,37.75,1,750
4110135,1,1,3,0,0,1,0,2,0,1,9,0,300,1003,1,5616,,0,,1,423
4110135,1,1,3,0,0,1,0,2,0,2,0,0,1022,1807,0,5503,0,19,6.92,1,505
4110135,1,1,3,0,0,1,0,2,0,3,3,0,1824,1835,0,5653,0,17,4.55,1,11
4110135,1,1,3,0,0,1,0,2,0,4,9,0,1841,2700,1,5616,0,6,2.35,1,539
4111137,1,3,1,0,0,1,0,2,0,1,9,0,300,520,1,9406,,0,,1,140
