SrNo,Hhid,Day,Comp,SEC,Age,Child,Ncars,Gend,Wstat,AgeP,Actnr,Atype,With,BT,ET,Home,PPC,Mode,TravTime,TravDist,Eindhoven,Dur
496,4231182,2,4,0,3,0,0,0,0,3,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
498,4231553,2,3,1,1,2,1,1,1,1,1,9,0,300,755,1,5632,NA,0,NA,1,295
509,4233165,2,1,3,0,0,1,0,2,0,1,9,0,300,750,1,5652,NA,0,NA,1,290
518,4235170,2,3,3,1,0,1,1,1,1,1,9,0,300,815,1,5612,NA,0,NA,1,315
532,4236149,2,4,1,4,0,0,0,0,4,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
541,4237144,2,2,3,3,0,2,0,1,3,1,9,0,300,1430,1,5626,NA,0,NA,1,690
554,4239139,2,4,0,2,0,1,0,0,2,1,9,0,300,1230,1,5622,NA,0,NA,1,570
558,4239152,2,4,1,4,0,0,1,0,4,1,9,0,300,1230,1,5644,NA,0,NA,1,570
572,4241118,2,1,0,1,3,1,1,1,1,1,9,0,300,830,1,5641,NA,0,NA,1,330
589,4244143,2,3,3,1,1,1,0,2,1,1,9,0,300,630,1,5626,NA,0,NA,1,210
595,4244153,2,3,3,1,0,2,1,1,1,1,9,0,300,1130,1,5627,NA,0,NA,1,510
602,4246119,2,0,0,4,0,0,1,0,4,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
603,4247015,2,0,0,0,0,0,1,0,0,1,9,0,300,1440,1,5643,NA,0,NA,1,700
611,4247134,2,0,3,3,0,1,1,0,3,1,9,0,300,1300,1,5641,NA,0,NA,1,600
614,4248125,2,4,1,3,0,0,0,0,3,1,9,0,300,1330,1,5625,NA,0,NA,1,630
622,4249136,2,3,3,2,0,1,0,2,2,1,9,0,300,745,1,5612,NA,0,NA,1,285
631,4250114,2,4,2,4,0,1,0,0,4,1,9,0,300,1100,1,5644,NA,0,NA,1,480
635,4251113,2,1,2,0,0,1,0,2,0,1,9,0,300,800,1,5644,NA,0,NA,1,300
642,4251168,2,0,1,3,0,0,1,0,3,1,9,0,300,1205,1,5616,NA,0,NA,1,545
644,4253147,2,4,2,2,0,1,0,0,2,1,9,0,300,800,1,5628,NA,0,NA,1,300
648,4253161,2,1,3,1,0,1,0,2,1,1,9,0,300,745,1,5641,NA,0,NA,1,285
662,4302146,3,4,1,4,0,1,0,0,4,1,9,0,300,1145,1,5644,NA,0,NA,1,525
671,4302151,3,4,1,2,0,1,0,0,2,1,9,0,300,1100,1,5632,NA,0,NA,1,480
683,4304126,3,4,3,2,0,2,1,0,2,1,9,0,300,925,1,5644,NA,0,NA,1,385
694,4305122,3,4,2,3,0,1,0,0,3,1,9,0,300,1230,1,5624,NA,0,NA,1,570
704,4306139,3,1,0,0,1,1,1,1,0,1,9,0,300,820,1,5632,NA,0,NA,1,320
707,4307120,3,4,1,2,0,1,0,0,2,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
718,4308106,3,0,0,4,0,1,1,0,4,1,9,0,300,1030,1,5652,NA,0,NA,1,450
725,4308150,3,1,3,0,0,0,0,2,0,1,9,0,300,820,1,5616,NA,0,NA,1,320
764,4316001,3,4,1,4,0,1,0,0,4,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
774,4317139,3,3,3,1,1,2,0,2,1,1,9,0,300,645,1,5616,NA,0,NA,1,225
789,4318129,3,0,3,2,0,1,1,0,2,1,9,0,300,1040,1,5615,NA,0,NA,1,460
794,4318163,3,3,3,1,0,1,0,2,1,1,9,0,300,550,1,5623,NA,0,NA,1,170
832,4321555,3,3,3,0,0,1,0,2,0,1,9,0,300,830,1,5654,NA,0,NA,1,330
837,4322160,3,0,2,3,0,1,0,0,3,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
838,4323006,3,3,2,0,0,1,0,2,0,1,9,0,300,1445,1,5653,NA,0,NA,1,705
848,4324008,3,0,1,1,0,1,1,0,1,1,9,0,300,815,1,5611,NA,0,NA,1,315
851,4324116,3,3,3,1,1,2,0,2,1,1,9,0,300,730,1,5614,NA,0,NA,1,270
857,4326111,3,0,0,4,0,0,1,0,4,1,9,0,300,900,1,5645,NA,0,NA,1,360
859,4326181,3,1,3,1,0,1,0,2,1,1,9,0,300,735,1,5627,NA,0,NA,1,275
866,4328102,3,2,3,1,2,1,0,2,1,1,9,0,300,1230,1,5624,NA,0,NA,1,570
873,4328113,3,0,0,4,0,0,1,0,4,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
885,4329102,3,4,3,2,0,2,0,0,2,1,9,0,300,930,1,5642,NA,0,NA,1,390
901,4331112,3,3,3,1,3,2,0,2,1,1,9,0,300,1620,1,5612,NA,0,NA,1,800
914,4331556,3,0,0,4,0,0,1,0,4,1,9,0,300,1545,1,5623,NA,0,NA,1,765
916,4332001,3,0,1,0,2,1,1,0,0,1,9,0,300,610,1,5623,NA,0,NA,1,190
922,4332004,3,1,1,1,0,1,1,1,1,1,9,0,300,930,1,5655,NA,0,NA,1,390
925,4332108,3,0,2,3,0,1,1,0,3,1,9,0,300,1400,1,5631,NA,0,NA,1,660
927,4332155,3,4,1,3,0,1,1,0,3,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
933,4333152,3,0,0,2,0,1,0,0,2,1,9,0,300,745,1,5621,NA,0,NA,1,285
967,4335138,3,3,2,2,0,2,0,2,2,1,9,0,300,830,1,5655,NA,0,NA,1,330
979,4335184,3,4,2,2,0,1,0,0,2,1,9,0,300,1030,1,5645,NA,0,NA,1,450
997,4337009,3,1,0,1,0,1,0,2,1,1,9,0,300,700,1,5623,NA,0,NA,1,240
1023,4338125,3,4,1,4,0,0,1,0,4,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
1025,4338171,3,1,0,0,0,1,1,2,0,1,9,0,300,845,1,5628,NA,0,NA,1,345
1038,4339178,3,0,3,3,0,1,0,0,3,1,9,0,300,1105,1,5613,NA,0,NA,1,485
1046,4341152,3,0,0,1,0,0,1,0,1,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
1047,4341182,3,3,3,1,3,2,0,2,1,1,9,0,300,530,1,5625,NA,0,NA,1,150
1085,4346012,3,0,0,2,0,1,0,0,2,1,9,0,300,1115,1,5627,NA,0,NA,1,495
1089,4346163,3,2,3,1,0,2,0,2,1,1,9,0,300,905,1,5627,NA,0,NA,1,365
1094,4346178,3,1,2,0,0,0,0,2,0,1,9,0,300,820,1,5632,NA,0,NA,1,320
1099,4349116,3,4,3,4,0,1,0,0,4,1,9,0,300,1030,1,5645,NA,0,NA,1,450
1110,4352005,3,4,2,3,0,1,1,0,3,1,9,0,300,1015,1,5627,NA,0,NA,1,435
1122,4401148,4,0,0,3,0,0,1,0,3,1,9,0,300,1100,1,5642,NA,0,NA,1,480
1126,4402114,4,0,0,4,0,0,1,0,4,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
1138,4404117,4,0,0,4,0,1,1,0,4,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
1145,4405005,4,3,2,0,0,1,0,2,0,1,9,0,300,1010,1,5615,NA,0,NA,1,430
1169,4407193,4,1,3,1,0,0,1,2,1,1,9,0,300,500,1,5644,NA,0,NA,1,120
1178,4409150,4,0,2,2,0,1,1,0,2,1,9,0,300,1355,1,5611,NA,0,NA,1,655
1180,4412106,4,2,1,0,1,1,1,0,0,1,9,0,300,1135,1,5632,NA,0,NA,1,515
1188,4412107,4,0,0,4,0,0,1,0,4,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
1202,4413113,4,3,2,0,0,1,0,2,0,1,9,0,300,835,1,5615,NA,0,NA,1,335
1214,4416126,4,3,3,1,1,1,0,2,1,1,9,0,300,620,1,5633,NA,0,NA,1,200
1220,4416170,4,4,1,3,0,1,0,0,3,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
1222,4416188,4,4,1,3,0,1,0,0,3,1,9,0,300,1010,1,5625,NA,0,NA,1,430
1244,4420114,4,2,1,1,3,1,0,2,1,1,9,0,300,815,1,5623,NA,0,NA,1,315
1276,4427118,4,0,0,4,0,0,1,0,4,1,9,0,300,800,1,5641,NA,0,NA,1,300
1290,4430113,4,3,3,1,1,1,0,2,1,1,9,0,300,1010,1,5621,NA,0,NA,1,430
1303,4432553,4,1,0,1,0,1,0,2,1,1,9,0,300,630,1,5642,NA,0,NA,1,210
1305,4433164,4,3,3,0,1,2,0,2,0,1,9,0,300,1300,1,5629,NA,0,NA,1,600
1310,4434174,4,4,2,2,0,1,0,0,2,1,9,0,300,1415,1,5624,NA,0,NA,1,675
1313,4434552,4,3,3,1,0,2,0,2,1,1,9,0,300,715,1,5626,NA,0,NA,1,255
1342,4436150,4,3,1,1,2,1,0,2,1,1,9,0,300,740,1,5615,NA,0,NA,1,280
1359,4437182,4,3,1,1,1,1,0,2,1,1,9,0,300,800,1,5628,NA,0,NA,1,300
1365,4438557,4,0,0,4,0,0,1,0,4,1,9,0,300,1400,1,5631,NA,0,NA,1,660
1367,4439123,4,0,2,3,0,1,1,0,3,1,9,0,300,1100,1,5612,NA,0,NA,1,480
1370,4440015,4,4,0,1,1,1,0,0,1,1,9,0,300,900,1,5632,NA,0,NA,1,360
1375,4440141,4,3,3,1,1,2,1,2,1,1,9,0,300,820,1,5611,NA,0,NA,1,320
1394,4444005,4,0,1,3,0,0,1,0,3,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
1401,4444124,4,0,0,4,0,0,1,0,4,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
1402,4444179,4,4,1,2,0,1,0,0,2,1,9,0,300,1000,1,5653,NA,0,NA,1,420
1421,4446149,4,0,0,4,0,0,1,0,4,1,9,0,300,1000,1,5628,NA,0,NA,1,420
1435,4447111,4,4,2,4,0,1,1,0,4,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
1456,4450114,4,0,0,4,0,1,1,0,4,1,9,0,300,608,1,5622,NA,0,NA,1,188
1484,4502137,5,0,3,4,0,0,1,0,4,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
1485,4504104,5,3,3,1,0,2,0,2,1,1,9,0,300,630,1,5629,NA,0,NA,1,210
1489,4504156,5,4,3,3,0,1,0,0,3,1,9,0,300,1400,1,5631,NA,0,NA,1,660
1506,4507144,5,4,2,3,0,1,1,0,3,1,9,0,300,1120,1,5646,NA,0,NA,1,500
1512,4508102,5,3,3,2,0,1,0,2,2,1,9,0,300,745,1,5632,NA,0,NA,1,285
1519,4510102,5,0,3,4,0,0,1,0,4,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
